品种,单位,菜篮子价,康瑞达价,日期,上传时间
菠萝肉,元/公斤,,14,2024-12-25,2024-12-26 23:08:37
彩椒,元/公斤,,22,2024-12-25,2024-12-26 23:08:37
红肉木瓜,元/公斤,,7,2024-12-25,2024-12-26 23:08:37
香芋,元/公斤,,10.6,2024-12-25,2024-12-26 23:08:37
芫茜,元/公斤,,17,2024-12-25,2024-12-26 23:08:37
平包,元/公斤,,6,2024-12-25,2024-12-26 23:08:37
大红椒,元/公斤,,14,2024-12-25,2024-12-26 23:08:37
蒜肉,元/公斤,,14,2024-12-25,2024-12-26 23:08:37
姜肉,元/公斤,,18,2024-12-25,2024-12-26 23:08:37
鲜淮山,元/公斤,,18,2024-12-25,2024-12-26 23:08:37
本地红萝卜,元/公斤,,6,2024-12-25,2024-12-26 23:08:37
小红薯,元/公斤,,8,2024-12-25,2024-12-26 23:08:37
紫薯,元/公斤,,9.6,2024-12-25,2024-12-26 23:08:37
粉葛,元/公斤,,10,2024-12-25,2024-12-26 23:08:37
鲜百合,元/公斤,,86,2024-12-25,2024-12-26 23:08:37
鲜玉米笋,元/公斤,,36,2024-12-25,2024-12-26 23:08:37
贝贝南瓜,元/公斤,,9,2024-12-25,2024-12-26 23:08:37
青榄,元/公斤,,30,2024-12-25,2024-12-26 23:08:37
鲜香菇,元/公斤,,18,2024-12-25,2024-12-26 23:08:37
茶树菇,元/公斤,,16,2024-12-25,2024-12-26 23:08:37
鸡腿菇,元/公斤,,36,2024-12-25,2024-12-26 23:08:37
白灵菇,元/公斤,,68,2024-12-25,2024-12-26 23:08:37
白玉菇,元/公斤,,20,2024-12-25,2024-12-26 23:08:37
贡梨0.8斤/个,元/公斤,,9,2024-12-25,2024-12-26 23:08:37
75苹果3个/斤,元/公斤,,14,2024-12-25,2024-12-26 23:08:37
80苹果2个/斤,元/公斤,,15,2024-12-25,2024-12-26 23:08:37
新奇士2只/斤,元/公斤,,缺货,2024-12-25,2024-12-26 23:08:37
杨桃,元/公斤,,12,2024-12-25,2024-12-26 23:08:37
圣女果40只/斤,元/公斤,,15,2024-12-25,2024-12-26 23:08:37
冬枣,元/公斤,,18,2024-12-25,2024-12-26 23:08:37
甜柑,元/公斤,,9,2024-12-25,2024-12-26 23:08:37
冻凤爪,元/公斤,40.22,32.98,2024-12-25,2024-12-26 23:08:37
红三鱼（金钱鱼),元/公斤,65.78,53.93,2024-12-25,2024-12-26 23:08:37
牛仔骨（800克/10包）,元/箱,,865,2024-12-25,2024-12-26 23:08:37
原条草鱼(1000克左右一条),元/公斤,23.13,18.96,2024-12-25,2024-12-26 23:08:37
开刀鳙鱼,元/公斤,21.71,17.8,2024-12-25,2024-12-26 23:08:37
鲈鱼,元/公斤,41.33,33.89,2024-12-25,2024-12-26 23:08:37
鲮鱼胶,元/公斤,,38,2024-12-25,2024-12-26 23:08:37
多宝鱼,元/公斤,,84,2024-12-25,2024-12-26 23:08:37
鲮鱼骨,元/公斤,,6,2024-12-25,2024-12-26 23:08:37
马胶鱼,元/公斤,,86,2024-12-25,2024-12-26 23:08:37
青池鱼2-3两（净）,元/公斤,,52,2024-12-25,2024-12-26 23:08:37
沙尖鱼17条/斤（净）,元/公斤,,96,2024-12-25,2024-12-26 23:08:37
山坑草鱼,元/公斤,,36,2024-12-25,2024-12-26 23:08:37
肋条肉（五花肉）,元/公斤,35.89,29.42,2024-12-25,2024-12-26 23:08:37
生宰光鸡(白条鸡）,元/公斤,35.33,28.97,2024-12-25,2024-12-26 23:08:37
白壳鸡蛋,元/公斤,,13.2,2024-12-25,2024-12-26 23:08:37
鹌鹑蛋,元/公斤,,22,2024-12-25,2024-12-26 23:08:37
光清远鸡,元/公斤,,42,2024-12-25,2024-12-26 23:08:37
靓光清远鸡,元/公斤,,55,2024-12-25,2024-12-26 23:08:37
光湛江鸡,元/公斤,,54,2024-12-25,2024-12-26 23:08:37
光鸡项（小母鸡）,元/公斤,,36,2024-12-25,2024-12-26 23:08:37
咸蛋黄（20个）,包,,22,2024-12-25,2024-12-26 23:08:37
皮蛋(黄心),只,,2,2024-12-25,2024-12-26 23:08:37
咸蛋,只,,2,2024-12-25,2024-12-26 23:08:37
