品种,单位,菜篮子价,康瑞达价,日期,上传时间
伟红陈皮骨粒0%,400g/包*20包/箱,,442.9,2024-12-25,2024-12-26 23:08:37
新雨润8支手抓扇子骨(孜然味)5A0%,800g/包*10包/箱,,394.5,2024-12-25,2024-12-26 23:08:37
如意三宝手抓扇子骨0%,800g/包*10包/箱,,383.6,2024-12-25,2024-12-26 23:08:37
康鲜U家豉汁排骨0%,2kg/包*4包/箱,,198.4,2024-12-25,2024-12-26 23:08:37
千般就饭堂豉汁排骨0%,2.5kg/包*4包/箱,,248.1,2024-12-25,2024-12-26 23:08:37
尚好蔡饭堂蒸排骨0%,2.5kg/包*4包/箱,,289.2,2024-12-25,2024-12-26 23:08:37
尚好蔡蒜香小排0%,400g/包*25包/箱,,346.1,2024-12-25,2024-12-26 23:08:37
尚好蔡黄金脆皮骨0%,400g/包*20包/箱,,289.2,2024-12-25,2024-12-26 23:08:37
冠进碳烧猪颈肉0%,2.5kg/包*4包/箱,,348.5,2024-12-25,2024-12-26 23:08:37
伟红碳烧猪颈肉0%,2.5kg/包*4包/箱,,355.7,2024-12-25,2024-12-26 23:08:37
发记A肉胶0%,2.5kg/包*4包/箱,,202.1,2024-12-25,2024-12-26 23:08:37
发记AA肉胶0%,2.5kg/包*4包/箱,,221.4,2024-12-25,2024-12-26 23:08:37
发记AAA肉胶0%,2.5kg/包*4包/箱,,242,2024-12-25,2024-12-26 23:08:37
发记冬菇肉胶0%,2.5kg/包*4包/箱,,221.4,2024-12-25,2024-12-26 23:08:37
发记AA梅菜肉胶0%,2.5kg/包*4包/箱,,221.4,2024-12-25,2024-12-26 23:08:37
发记AA玉米肉胶0%,2.5kg/包*4包/箱,,221.4,2024-12-25,2024-12-26 23:08:37
大成新梅菜肉饼0%,2.75kg/包*4包/箱,,256.5,2024-12-25,2024-12-26 23:08:37
六记雄猪肉卷B0%,2.5kg/包*4包/箱,,226.3,2024-12-25,2024-12-26 23:08:37
六记雄猪肉卷A0%,2.5kg/包*4包/箱,,250.5,2024-12-25,2024-12-26 23:08:37
六记雄潮汕猪肉饼0%,500g/包*20包/箱,,323.1,2024-12-25,2024-12-26 23:08:37
金锣精制培根0%,1.5kg/包*8包/箱,,321.9,2024-12-25,2024-12-26 23:08:37
南阳雪花培根0%,1.5kg/包*8包/箱,,227.5,2024-12-25,2024-12-26 23:08:37
鲁一霖超值培根0%,1.5kg/包*8包/箱,,158.5,2024-12-25,2024-12-26 23:08:37
尚好蔡猪肉片0%,2.5kg/包*4包/箱,,295.2,2024-12-25,2024-12-26 23:08:37
赐隆猪肉片0%,2.5kg/包*4包/箱,,229.9,2024-12-25,2024-12-26 23:08:37
赐隆猪肉丝0%,2.5kg/包*4包/箱,,229.9,2024-12-25,2024-12-26 23:08:37
赐隆猪心片0%,2.5kg/包*6包/箱,,348.5,2024-12-25,2024-12-26 23:08:37
赐隆展肉片0%,2.5kg/包*6包/箱,,249.3,2024-12-25,2024-12-26 23:08:37
纳佰味鲜味脆骨0%,1kg/包*10包/箱,,220.2,2024-12-25,2024-12-26 23:08:37
千般就黑椒T骨猪扒0%,1kg/包*10包/箱,,363,2024-12-25,2024-12-26 23:08:37
尚好蔡黑椒T骨猪扒0%,100g/片*100片/箱,,363,2024-12-25,2024-12-26 23:08:37
南阳超值雪花扒0%,2kg/包*6包/箱,,321.9,2024-12-25,2024-12-26 23:08:37
康厨飘香牛腩2kg0%,2kg/包*4包/箱,,418.7,2024-12-25,2024-12-26 23:08:37
康厨牛腩粒0%,2.5kg/包*4包/箱,,563.9,2024-12-25,2024-12-26 23:08:37
康厨牛肉片0%,2.5kg/包*4包/箱,,538.5,2024-12-25,2024-12-26 23:08:37
长喜厨房嫩滑牛肉片0%,500g/包*20包/箱,,550.6,2024-12-25,2024-12-26 23:08:37
尚好蔡原味牛肉片0%,500g/包*20包/箱,,643.7,2024-12-25,2024-12-26 23:08:37
尚好蔡牛肉胶0%,2.5kg/包*4包/箱,,268.6,2024-12-25,2024-12-26 23:08:37
尚好蔡原味牛肉粒0%,1kg/包*10包/箱,,402.9,2024-12-25,2024-12-26 23:08:37
追牛族黑椒牛仔骨A0%,400g/包*20包/箱,,752.6,2024-12-25,2024-12-26 23:08:37
闽正牛蛙20%,1*5kg/箱,,24.8,2024-12-25,2024-12-26 23:08:37
越洋二级鱿鱼筒30%,1*10kg/箱,,39.8,2024-12-25,2024-12-26 23:08:37
港洋5成71/90虾仁50%,1*5kg/箱,,40.5,2024-12-25,2024-12-26 23:08:37
港洋9成71/90虾仁10%,1*5kg/箱,,67.2,2024-12-25,2024-12-26 23:08:37
港洋9成21/25虾仁10%,1*5kg/箱,,77,2024-12-25,2024-12-26 23:08:37
港洋二级26/30熟虾65%,1*4.5kg/箱,,19.5,2024-12-25,2024-12-26 23:08:37
港洋一级26/30熟虾35%,1*4.5kg/箱,,30,2024-12-25,2024-12-26 23:08:37
港洋一级21/25熟虾35%,1*4.5kg/箱,,32.3,2024-12-25,2024-12-26 23:08:37
环球8成去皮龙利鱼柳20%,1*10kg/箱,,20.2,2024-12-25,2024-12-26 23:08:37
福多多9成去皮龙利鱼柳20%,1*10kg/箱,,20.2,2024-12-25,2024-12-26 23:08:37
港洋一级黄金贝0%,1*4.5kg/箱,,70.2,2024-12-25,2024-12-26 23:08:37
港洋蓝口贝0%,1*10kg/箱,,233.5,2024-12-25,2024-12-26 23:08:37
金月湾清水鱼皮50%,1*10kg/箱,,121,2024-12-25,2024-12-26 23:08:37
明宇章鱼须0%,1*3.75kg/箱,,107.7,2024-12-25,2024-12-26 23:08:37
环球纯虾滑0%,150g/包*30包/箱,,381.2,2024-12-25,2024-12-26 23:08:37
港洋AAA虾滑0%,500g/包*20包/箱,,692.1,2024-12-25,2024-12-26 23:08:37
三意荷包蛋0%,50只/包*4包/箱,,170.6,2024-12-25,2024-12-26 23:08:37
佳士博仿鱿鱼花0%,1.5kg/包*4包/箱,,101.6,2024-12-25,2024-12-26 23:08:37
嗨御膳模拟跳跳虾0%,2kg/包*4包/箱,,194.8,2024-12-25,2024-12-26 23:08:37
惠发炸牛奶0%,300g/包*24包/箱,,196,2024-12-25,2024-12-26 23:08:37
惠发脆香藕盒0%,1kg/包*10包/箱,,154.9,2024-12-25,2024-12-26 23:08:37
津津腐皮卷0%,2.5kg/包*4包/箱,,225.1,2024-12-25,2024-12-26 23:08:37
大成洋葱鸡肉圈0%,800g/包*10包/箱,,153.7,2024-12-25,2024-12-26 23:08:37
硕倍鲜甜青豆A0%,1kg/包*10包/箱,,94.4,2024-12-25,2024-12-26 23:08:37
硕倍鲜甜青豆B0%,1kg/包*10包/箱,,81.1,2024-12-25,2024-12-26 23:08:37
硕倍鲜甜玉米粒A0%,1kg/包*10包/箱,,83.5,2024-12-25,2024-12-26 23:08:37
硕倍鲜甜玉米粒B0%,1kg/包*10包/箱,,62.9,2024-12-25,2024-12-26 23:08:37
硕倍鲜杂豆A0%,1kg/包*10包/箱,,83.5,2024-12-25,2024-12-26 23:08:37
硕倍鲜杂豆B0%,1kg/包*10包/箱,,62.9,2024-12-25,2024-12-26 23:08:37
黑沃土玉米棒0%,1*40条/箱,,112.5,2024-12-25,2024-12-26 23:08:37
妙典槟榔芋条0%,1.5kg/包*8包/箱,,225.1,2024-12-25,2024-12-26 23:08:37
楚荷香清水莲藕0%,1.5kg/包*5包/箱,,47.2,2024-12-25,2024-12-26 23:08:37
纯源海带丝0%,1*6kg/箱,,88.3,2024-12-25,2024-12-26 23:08:37
康藻宝海带结0%,1*5kg/箱,,88.3,2024-12-25,2024-12-26 23:08:37
高技魔芋丝0%,200g/盒*20盒/箱,,55.7,2024-12-25,2024-12-26 23:08:37
众乐购笋尖0%,500g*20包/箱,,148.8,2024-12-25,2024-12-26 23:08:37
奥昆老婆饼0%,20个层*13层/箱,,202.1,2024-12-25,2024-12-26 23:08:37
威可斯港式蛋挞皮0%,1*350个/箱,,142.8,2024-12-25,2024-12-26 23:08:37
大佬强港式2103蛋挞皮0%,527g/34个/袋*10袋/箱,,147.6,2024-12-25,2024-12-26 23:08:37
大佬强2107港式蛋挞皮0%,34个/袋*10袋/箱,,147.6,2024-12-25,2024-12-26 23:08:37
大佬强牛角包(原味)20#0%,288g/16个*6包/箱,,142.8,2024-12-25,2024-12-26 23:08:37
麦肯1/4铜牌薯条0%,2kg/包*6包/箱,,131.9,2024-12-25,2024-12-26 23:08:37
高技牛肉风味丸(美食)0%,2.5kg/包*4包/箱,,129.5,2024-12-25,2024-12-26 23:08:37
高技牛筋风味丸0%,2.5kg/包*4包/箱,,191.2,2024-12-25,2024-12-26 23:08:37
立笙撒尿牛肉丸0%,2.5kg/包*4包/箱,,198.4,2024-12-25,2024-12-26 23:08:37
亚细撒尿肉丸0%,2.5KG/包*4包/箱,,187.6,2024-12-25,2024-12-26 23:08:37
海仔撒尿肉丸0%,2.5KG/包*4包/箱,,127.1,2024-12-25,2024-12-26 23:08:37
津津包心鱼丸0%,2.5kg/包*4包/箱,,154.9,2024-12-25,2024-12-26 23:08:37
津津鱼丸（大）0%,2.5kg/包*4包/箱,,137.9,2024-12-25,2024-12-26 23:08:37
高技包心鱼风味丸0%,2.5kg/包*4包/箱,,170.6,2024-12-25,2024-12-26 23:08:37
高技炸鱼丸B0%,2.5kg/包*4包/箱,,134.3,2024-12-25,2024-12-26 23:08:37
平海炸鱼蛋B0%,2.5kg/包*4包/箱,,225.1,2024-12-25,2024-12-26 23:08:37
立笙仿龙虾球0%,2.5kg/包*4包/箱,,190,2024-12-25,2024-12-26 23:08:37
佳业龙虾丸0%,2.5kg/包*4包/箱,,205.7,2024-12-25,2024-12-26 23:08:37
津津龙虾风味球B0%,2.5kg/包*4包/箱,,148.8,2024-12-25,2024-12-26 23:08:37
立笙墨鱼丸0%,2.5kg/包*4包/箱,,202.1,2024-12-25,2024-12-26 23:08:37
津津墨鱼风味丸B0%,2.5kg/包*4包/箱,,187.6,2024-12-25,2024-12-26 23:08:37
津津黄金炸鱼蛋B(小)0%,2.5kg/包*4包/箱,,139.2,2024-12-25,2024-12-26 23:08:37
平海墨鱼丸0%,2.5kg/包*4包/箱,,222.6,2024-12-25,2024-12-26 23:08:37
浩洋深海墨鱼丸0%,2.5kg/包*4包/箱,,359.4,2024-12-25,2024-12-26 23:08:37
高技黄金炸鱼丸A0%,2.5kg/包*4包/箱,,194.8,2024-12-25,2024-12-26 23:08:37
六记雄黄金鱼蛋0%,500g/包*20包/箱,,280.7,2024-12-25,2024-12-26 23:08:37
四海鱼蛋0%,2.5kg/包*4包/箱,,300,2024-12-25,2024-12-26 23:08:37
津津原味热狗肠B0%,2.5kg/包*4包/箱,,135.5,2024-12-25,2024-12-26 23:08:37
津津黑椒热狗肠B0%,2.5kg/包*4包/箱,,135.5,2024-12-25,2024-12-26 23:08:37
津津B级脆皮肠0%,2.5kg/包*4包/箱,,170.6,2024-12-25,2024-12-26 23:08:37
津津开花脆皮肠0%,2.5kg/包*4包/箱,,188.8,2024-12-25,2024-12-26 23:08:37
津津芝士波波肠0%,2.5kg/包*4包/箱,,300.1,2024-12-25,2024-12-26 23:08:37
津津桂花形肠（白）0%,2.5kg/包*4包/箱,,135.5,2024-12-25,2024-12-26 23:08:37
津津腰花形肠（白）0%,2.5kg/包*4包/箱,,148.8,2024-12-25,2024-12-26 23:08:37
立笙黑椒热狗肠0%,2.5kg/包*4包/箱,,156.1,2024-12-25,2024-12-26 23:08:37
立笙原味热狗肠0%,2.5kg/包*4包/箱,,156.1,2024-12-25,2024-12-26 23:08:37
立笙黑椒台式香肠0%,2.4kg/30支/包*8包/箱,,283.1,2024-12-25,2024-12-26 23:08:37
立笙原味台式香肠0%,2.4kg/30支/包*8包/箱,,283.1,2024-12-25,2024-12-26 23:08:37
南阳波波肠(珍珠肠)0%,2.5kg/包*4包/箱,,185.1,2024-12-25,2024-12-26 23:08:37
南阳粒粒脆0%,2.5kg/包*4包/箱,,192.4,2024-12-25,2024-12-26 23:08:37
洪顺C级腊肠0%,1*5kg/箱,,187.6,2024-12-25,2024-12-26 23:08:37
洪顺B级腊肠0%,1*5kg/箱,,236,2024-12-25,2024-12-26 23:08:37
大成德式香肠30g0%,1kg/包*12包/箱,,534.8,2024-12-25,2024-12-26 23:08:37
鲁一霖拉丝芝士棒0%,800g/包*9包/箱,,205.7,2024-12-25,2024-12-26 23:08:37
新四连豆腐串0%,20串/包*5包/箱,,61.7,2024-12-25,2024-12-26 23:08:37
三鼎牛杂串0%,20串/包*10包/箱,,228.7,2024-12-25,2024-12-26 23:08:37
伊德纯羊肉串0%,20g/串*300串/箱,,163.4,2024-12-25,2024-12-26 23:08:37
伊德纯牛肉串0%,20g/串*300串/箱,,61.7,2024-12-25,2024-12-26 23:08:37
天久香台式热狗0%,80g/条*180条/箱,,228.7,2024-12-25,2024-12-26 23:08:37
远祥A级槟榔芋串0%,20串*8包/箱,,226.3,2024-12-25,2024-12-26 23:08:37
入口为鲜三鲜猪肉饺0%,,,16.5,2024-12-25,2024-12-26 23:08:37
入口为鲜韭菜猪肉饺0%,,,16.5,2024-12-25,2024-12-26 23:08:37
入口为鲜三鲜猪肉饺0%,,,16.5,2024-12-25,2024-12-26 23:08:37
入口为鲜韭菜猪肉饺0%,,,16.5,2024-12-25,2024-12-26 23:08:37
入口为鲜冬菇猪肉饺0%,,,16.5,2024-12-25,2024-12-26 23:08:37
入口为鲜玉米猪肉饺0%,,,16.5,2024-12-25,2024-12-26 23:08:37
高技翡翠干蒸0%,2.5kg/包*4包/箱,,128.3,2024-12-25,2024-12-26 23:08:37
津津糯米鸡150g0%,150g/只*72只/箱,,162.1,2024-12-25,2024-12-26 23:08:37
津津糯米鸡120g0%,720g/6只*84只/箱,,175.5,2024-12-25,2024-12-26 23:08:37
何海记糯米鸡0%,160g/个*4个/包*16包/箱,,10.4,2024-12-25,2024-12-26 23:08:37
何海记糯米烧麦0%,720g/包*15包/箱,,18.9,2024-12-25,2024-12-26 23:08:37
阿诺黑糯米糕0%,360g/12个*20包/箱,,116.2,2024-12-25,2024-12-26 23:08:37
阿诺雪花南瓜饼0%,300g/12个*16包/箱,,61.7,2024-12-25,2024-12-26 23:08:37
阿诺绿茶佛饼0%,896g/32个*6盒/箱,,127.1,2024-12-25,2024-12-26 23:08:37
绿鸿潮州粉果0%,840g/12个*20包/箱,,387.2,2024-12-25,2024-12-26 23:08:37
绿鸿蜂巢糕0%,400g/12个*12包/箱,,210.5,2024-12-25,2024-12-26 23:08:37
绿鸿蜂蜜糕0%,380g/12个*12包/箱,,164.6,2024-12-25,2024-12-26 23:08:37
绿鸿黄金糕0%,500g/12个*24包/箱,,174.2,2024-12-25,2024-12-26 23:08:37
绿鸿客家艾糍（米糍）0%,540g/12个*12包/箱,,209.3,2024-12-25,2024-12-26 23:08:37
椰汁马蹄糕0%,,,168,2024-12-25,2024-12-26 23:08:37
潮州粉果0%,,,218,2024-12-25,2024-12-26 23:08:37
斋善年年鱼0%,300g/包*20包/箱,,298.9,2024-12-25,2024-12-26 23:08:37
靓上靓素紫菜鸭0%,250g/包,,13.3,2024-12-25,2024-12-26 23:08:37
鸿昶植物基黑椒猪排0%,2.5kg/包*4包/箱,,527.6,2024-12-25,2024-12-26 23:08:37
鸿昶植物基麦可鸡块0%,2.5kg/包*4包/箱,,448.9,2024-12-25,2024-12-26 23:08:37
奇乡素珍珠鲍0%,250g/包*20包/箱,,344.9,2024-12-25,2024-12-26 23:08:37
海天海鲜酱,桶-1*2桶*7kg,,80,2024-12-25,2024-12-26 23:08:37
海天柱侯酱,桶-1*2桶*6.5kg,,68,2024-12-25,2024-12-26 23:08:37
海天金标生抽,罐-1*6罐*1.9L,,20,2024-12-25,2024-12-26 23:08:37
海天海天银标生抽,罐-1*6罐*1.9L,,18,2024-12-25,2024-12-26 23:08:37
海天黄豆酱,瓶-230克*15瓶,,7,2024-12-25,2024-12-26 23:08:37
海天英标鲜味汁,桶-1*2桶*10.5L,,36,2024-12-25,2024-12-26 23:08:37
海天皇标老抽,桶-1*2桶*10.5L,,43,2024-12-25,2024-12-26 23:08:37
海天海天甜醋,桶-4.9L,,63,2024-12-25,2024-12-26 23:08:37
海天海天甜醋,罐-1.9L,,33,2024-12-25,2024-12-26 23:08:37
海天海天上等蚝油,桶-1*10kg*2桶,,57,2024-12-25,2024-12-26 23:08:37
海天盐焗鸡粉,包-1*12包*500g,,14,2024-12-25,2024-12-26 23:08:37
海天盐焗鸡粉,盒-1*12包*30g,,6.5,2024-12-25,2024-12-26 23:08:37
海天草菇老抽,罐-1.9L,,26,2024-12-25,2024-12-26 23:08:37
海天蚝油皇,桶-1*6kg*2桶,,61,2024-12-25,2024-12-26 23:08:37
海天海天卤水汁,瓶-1*24瓶*250g,,6,2024-12-25,2024-12-26 23:08:37
海天蒸鱼豉油,瓶-1*500ml*12瓶,,10.5,2024-12-25,2024-12-26 23:08:37
海天冰梅酱,瓶-250g,,8,2024-12-25,2024-12-26 23:08:37
海天白醋,瓶-450ml,,5,2024-12-25,2024-12-26 23:08:37
海天番茄沙司,瓶-510g,,8,2024-12-25,2024-12-26 23:08:37
蒜茸辣椒酱,瓶-1*15*230g,,5.5,2024-12-25,2024-12-26 23:08:37
海天银标生抽豉油,瓶-1*500ml*12瓶,,6.3,2024-12-25,2024-12-26 23:08:37
啤酒,瓶-,,5,2024-12-25,2024-12-26 23:08:37
老干妈,瓶-1*24瓶*280g,,10.5,2024-12-25,2024-12-26 23:08:37
厨邦特级生抽,瓶-1*6瓶*1.8L,,15,2024-12-25,2024-12-26 23:08:37
甘竹鲮鱼罐头,罐-227克*24罐,,16,2024-12-25,2024-12-26 23:08:37
太太乐鸡精,包-454g*20包,,16.5,2024-12-25,2024-12-26 23:08:37
古越龙山花雕酒,瓶-12*600ml,,10.5,2024-12-25,2024-12-26 23:08:37
绍兴料酒,瓶-1*12*500ml,,4.6,2024-12-25,2024-12-26 23:08:37
广味源胡椒粉,包-1*20*454g,,7.5,2024-12-25,2024-12-26 23:08:37
汇品麻油,罐-2.3L,,38,2024-12-25,2024-12-26 23:08:37
海天芝麻香油,瓶-1*24瓶*150ml,,11.5,2024-12-25,2024-12-26 23:08:37
味事达味极鲜,罐-1*1.6L*6瓶,,23,2024-12-25,2024-12-26 23:08:37
黎红花椒油,瓶-1*12*360ml,,17,2024-12-25,2024-12-26 23:08:37
椒盐粉,包-,,5,2024-12-25,2024-12-26 23:08:37
南德村南德料,包-1*50*130g,,4,2024-12-25,2024-12-26 23:08:37
麻辣鲜,包-1*5包*22袋*46g,,24,2024-12-25,2024-12-26 23:08:37
鸡泽县利丰红油豆瓣酱,桶-1*4*4kg,,32,2024-12-25,2024-12-26 23:08:37
山西陈醋,瓶-1*20*420ml,,2.1,2024-12-25,2024-12-26 23:08:37
白砂糖,袋-1*50kg,,376,2024-12-25,2024-12-26 23:08:37
冰片糖,斤-1*10斤,,4.5,2024-12-25,2024-12-26 23:08:37
冰糖,斤-,,5.8,2024-12-25,2024-12-26 23:08:37
美嘉成南乳,瓶-,,6.5,2024-12-25,2024-12-26 23:08:37
中南鲍汁,瓶-1*12*390g,,9.5,2024-12-25,2024-12-26 23:08:37
广合腐乳,瓶-,,8.5,2024-12-25,2024-12-26 23:08:37
红星二锅头,瓶-1*12,,15,2024-12-25,2024-12-26 23:08:37
30g阳江豆豉（粤天荣）,箱-1*100包*30g,,90,2024-12-25,2024-12-26 23:08:37
2kg阳江豆豉（粤天荣）,包-1*5包*2kg,,26,2024-12-25,2024-12-26 23:08:37
家乐鸡精,包-1*10*900g,,25,2024-12-25,2024-12-26 23:08:37
风行炼奶,瓶-1*12*400g,,14.4,2024-12-25,2024-12-26 23:08:37
甜面酱,瓶-,,4.5,2024-12-25,2024-12-26 23:08:37
泰汁甜辣酱,瓶-,,18,2024-12-25,2024-12-26 23:08:37
家乐黑椒汁,罐-2.3kg*6瓶,,52,2024-12-25,2024-12-26 23:08:37
海天大红浙醋,瓶-,,6.5,2024-12-25,2024-12-26 23:08:37
彩田蜂蜜,瓶-,,5,2024-12-25,2024-12-26 23:08:37
粤盐普通加碘盐,件-1*40包*500g,,58,2024-12-25,2024-12-26 23:08:37
粤盐低钠盐,件-1*80包*250g,,165,2024-12-25,2024-12-26 23:08:37
双桥味精（幼针）,包-1*10包,,16,2024-12-25,2024-12-26 23:08:37
百钻无铅泡打粉500g,包-,,11.5,2024-12-25,2024-12-26 23:08:37
白莲蓉,件-,,190,2024-12-25,2024-12-26 23:08:37
红牡丹,包-,,138,2024-12-25,2024-12-26 23:08:37
白玉兰面粉,包-,,147,2024-12-25,2024-12-26 23:08:37
安琪酵母500g,包-,,23,2024-12-25,2024-12-26 23:08:37
糯米粉,包-,,190,2024-12-25,2024-12-26 23:08:37
兆雪澄面,包-,,149.5,2024-12-25,2024-12-26 23:08:37
裕景咖喱粉,包-,,10,2024-12-25,2024-12-26 23:08:37
三象粘米粉500g,包-,,7.6,2024-12-25,2024-12-26 23:08:37
食用碱,斤-,,4,2024-12-25,2024-12-26 23:08:37
孜然粉（包）,包-,,3.5,2024-12-25,2024-12-26 23:08:37
黄龙生粉,包-,,126.5,2024-12-25,2024-12-26 23:08:37
狮头小吉士粉,罐-,,20,2024-12-25,2024-12-26 23:08:37
烘焙奶粉,包-,,40,2024-12-25,2024-12-26 23:08:37
牛奶香粉,包-,,98,2024-12-25,2024-12-26 23:08:37
五香粉,包-,,6,2024-12-25,2024-12-26 23:08:37
李锦记蒸鱼豉油（410ml）,件-,,138,2024-12-25,2024-12-26 23:08:37
